title,company,work_type,posted_on,location,duration,start_date,stipend,openings,apply_by,type,source,apply_link,scraped_at
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:41:50
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:41:50
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:41:50
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:41:52
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:41:52
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:41:52
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:41:52
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:41:52
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:41:52
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-16 18:41:52
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:41:52
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:41:52
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:41:52
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:41:54
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:41:54
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:41:54
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:41:55
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:41:55
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:41:55
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-16 18:41:55
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:41:55
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:41:55
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:41:55
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:41:57
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:41:57
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:41:57
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:41:57
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:41:57
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:41:57
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-16 18:41:57
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:41:57
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:41:57
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:41:57
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:41:59
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:41:59
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:41:59
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:41:59
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:41:59
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:41:59
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-16 18:41:59
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:41:59
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:41:59
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:41:59
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:42:01
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:42:01
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:42:01
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:42:01
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:42:01
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:42:01
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-16 18:42:01
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-16 18:42:01
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-16 18:42:01
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-16 18:42:02
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-16 18:42:04
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-16 18:42:04
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-16 18:42:04
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-16 18:42:04
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-16 18:42:04
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-16 18:42:04
